"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.17015477508793e-257,3.17201636934789,0.29,0.034,3.05688001618886e-253,"1","LEF1"
"2",7.52634289270898e-310,2.5531424159995,0.42,0.081,1.06016065986699e-305,"1","IL6ST"
"3",3.70070085442495e-148,1.80647703615663,0.309,0.09,5.21280722354298e-144,"1","TCF7"
"4",1.02443596546396e-254,1.46425940859128,0.615,0.253,1.44302050095254e-250,"1","FYB1"
"5",5.88143664307704e-110,1.45034893785747,0.319,0.122,8.28459165543833e-106,"1","SATB1"
"6",4.43407573729955e-150,1.13238539892097,0.544,0.267,6.24583908356015e-146,"1","SARAF"
"7",1.9377388784398e-182,1.12787596667789,0.6,0.276,2.72949898417031e-178,"1","IL7R"
"8",0,1.10709525076652,0.902,0.585,0,"1","RPS13"
"9",1.87799400258952e-63,1.08054686570434,0.292,0.143,2.64534235204759e-59,"1","EIF3E"
"10",8.37057380624816e-80,1.07338638890464,0.351,0.171,1.17907902634812e-75,"1","RPL22"
"11",1.75820105080192e-251,1.01693654276667,0.83,0.509,2.47660200015958e-247,"1","RPL32"
"12",3.48773064030379e-185,1.00414976471278,0.718,0.423,4.91281737993192e-181,"1","RPL4"
"13",7.60695831182526e-137,0.990983273110785,0.603,0.341,1.07151614780371e-132,"1","RPL7"
"14",1.9359394334352e-113,0.983746462285109,0.52,0.281,2.72696428593683e-109,"1","NPM1"
"15",2.36197848076059e-247,0.967580930085887,0.863,0.565,3.32708288799937e-243,"1","RPS12"
"16",1.0903526505397e-74,0.965285211906214,0.414,0.231,1.53587074355022e-70,"1","RPS14"
"17",1.77302153195945e-182,0.963232247139625,0.763,0.485,2.49747812991808e-178,"1","RPLP2"
"18",3.86837115385217e-228,0.959393484794792,0.827,0.518,5.44898760731617e-224,"1","RPL30"
"19",8.8744634540841e-317,0.936574479884812,0.946,0.677,1.25005692214229e-312,"1","RPS6"
"20",1.6648408283502e-225,0.925074208643167,0.841,0.538,2.34509479081409e-221,"1","RPL9"
"21",5.92065939458425e-123,1.45136676342211,0.391,0.148,8.33984082321137e-119,"2","PIK3R1"
"22",3.78145373640225e-188,1.37414856401546,0.674,0.347,5.32655573309621e-184,"2","TNFAIP3"
"23",2.30954814692887e-70,1.29396465425633,0.301,0.132,3.253229519764e-66,"2","CREM"
"24",6.6974083595521e-83,1.20226467719047,0.356,0.158,9.43396941526508e-79,"2","FYN"
"25",2.84335704557765e-69,1.07112738968372,0.414,0.225,4.00515273440068e-65,"2","SMCHD1"
"26",9.43576062185659e-74,1.00128145471653,0.437,0.234,1.32912124119472e-69,"2","CNOT6L"
